Diario;Titulo;link;Noticia
Clarin;Declaran inconstitucional la Ley de Alquileres de la Ciudad: cómo afecta a los inquilinos;http://www.clarin.com/ciudades/declaran-inconstitucional-ley-alquileres-ciudad-afecta-inquilinos_0_D-oHXRy-D.html;Si bien sigue vigente, si el Tribunal Superior de Justicia confirma el fallo de la Cámara, las inmobiliarias podrán volver a cobrarles honorarios.
Clarin;Adiós a iTunes: Apple estaría planeando dividir la plataforma en aplicaciones separadas;http://www.clarin.com/tecnologia/adios-itunes-apple-planeando-dividir-plataforma-aplicaciones-separadas_0_30ZfAr_9R.html;Las nuevas aplicaciones funcionarían tanto en la Mac como en iPhone y iPad.
Clarin;El arzobispo de Mendoza negó que se quieran tapar las denuncias de abuso sexual contra sacerdotes;http://www.clarin.com/sociedad/arzobispo-mendoza-nego-quieran-tapar-denuncias-abuso-sexual-sacerdotes_0_uqTO7MmyL.html;"Marcelo Colombo dijo que pidió que la investigación canónica pase a otra jurisdicción para evitar suspicacias. ""Estamos a disposición de la Justicia"", agregó."
Clarin;"Crítica de ""La última locura de Claire Darling"": Deneuve, tan solo Deneuve";http://www.clarin.com/espectaculos/cine/critica-ultima-locura-claire-darling-deneuve-solo-deneuve_0_Ph7Q3O5gZ.html;La presencia de la diva del cine francés justifica la visión de la película.
Clarin;Cayó por robar con una ametralladora y se fugó de un hospital con las esposas puestas;http://www.clarin.com/policiales/cayo-robar-ametralladora-fugo-hospital-esposas-puestas_0_CVMMlTx7B.html;Había recibido un tiro en un pie durante un enfrentamiento con policías. El agente que debía custodiarlo no lo vio.
Clarin;Preocupa a Adepa y la SIP un juicio que pone en riesgo la continuidad de Diario Popular;http://www.clarin.com/sociedad/preocupa-adepa-sip-juicio-pone-riesgo-continuidad-diario-popular_0_MMMFo-Htk.html;También hay proyectos de declaración de Diputados y Senadores.
Clarin;El agujero negro motivó a Google a crear un Doodle de último momento;http://www.clarin.com/sociedad/agujero-negro-motivo-google-crear-doodle-ultimo-momento_0_ROmruhn0t.html;Habitualmente los publica ni bien comienza un nuevo día. Esta vez el impacto que tuvo la noticia en la web aceleró la respuesta y tuvo un lugar destacado en el buscador.
Clarin;"Crítica de ""Viviendo con el enemigo"": Y sí, la convivencia es difícil";http://www.clarin.com/espectaculos/cine/critica-viviendo-enemigo-convivencia-dificil_0_xeec4WTX8.html;Keira Knightley es la mujer de un militar británico en posguerra, y se enamora de un alemán que no es nazi.
Clarin;La fuerte respuesta de Huracán a la Superliga por la eventual quita de puntos;http://www.clarin.com/deportes/futbol/huracan/fuerte-respuesta-huracan-superliga-eventual-quita-puntos_0_QT6ZZqVOM.html;El club de Parque de los Patricios apelará a todas las instancias de apelación para evitar una sanción de seis puntos que entiene injusta. 
Clarin;La China Suárez compartió un insólito viral que la une con el Indio Solari;http://www.clarin.com/espectaculos/china-suarez-compartio-insolito-viral-une-indio-solari_0_7He8f5Hkj.html;"La actriz compartió en sus redes un video que  encuentra a su personaje de La Polaca cantando ""Jijiji"" con el líder de Los Redonditos de Ricota."
Pagina12;Un juicio al aparato de inteligencia de la dictadura;https://www.pagina12.com.ar/186398-un-juicio-al-aparato-de-inteligencia-de-la-dictadura;La fiscal Gabriela Sosti dice que el juicio permitirá revisar el sistema de inteligencia de la dictadura y el relato dominante sobre la Contraofensiva.
Pagina12;Mario Alberto Gershanik;https://www.pagina12.com.ar/186286-mario-alberto-gershanik;Desde hace 30 años, Página/12 publica a diario los recordatorios de los desaparecidos y las desaparecidas que sus familias y amigos acercan a nuestra redacción en cada aniversario. Con el mismo compromiso que hemos asumido en todos estos años, ahora también tienen un lugar en nuestra web.
Pagina12;Record de deuda en el Banco Central;https://www.pagina12.com.ar/186368-record-de-deuda-en-el-banco-central;Las reservas son infladas con dólares del Fondo Monetario. Pese a ello, bonos y acciones bajan, mientras el dólar sube.
Pagina12;De la mano del Fondo, más inflación y desempleo;https://www.pagina12.com.ar/186365-de-la-mano-del-fondo-mas-inflacion-y-desempleo;Si se cumple la estimación optimista del Fondo Monetario, con un alza de precios del 30,5 por ciento a diciembre, la Argentina será la sexta economía del mundo con más inflación.
Pagina12;Mentiras, errores y cifras al voleo;https://www.pagina12.com.ar/186364-mentiras-errores-y-cifras-al-voleo;El Presidente dio un discurso con tono de campaña que no generó mayor adhesión entre los presentes. El detalle de falsedades y confusiones.
Pagina12;Un faltazo que demora la ley de blanqueo laboral;https://www.pagina12.com.ar/186384-un-faltazo-que-demora-la-ley-de-blanqueo-laboral;La central sindical debía emitir su opinión ante los senadores. Por el oficialismo fue el ministro Sica pero no habló. Se reunirán la próxima semana.
